DRUG_B_NAME,DRUG_B_ID,GT,DDI_TYPE
Hydroxyurea,DB01005,NO,NONE
Cyclophosphamide,DB00531,YES,MAJOR
Bosutinib,DB06616,YES,MAJOR
Urokinase,DB00013,NO,NONE
Ethambutol,DB00330,YES,MAJOR
Beta carotene,DB06755,NO,NONE
Irbesartan,DB01029,YES,MAJOR
Paliperidone,DB01267,YES,MAJOR
Sparsentan,DB12548,YES,MAJOR
Ponesimod,DB12016,YES,MAJOR
Levomefolic acid,DB11256,NO,NONE
Desipramine,DB01151,YES,MAJOR
Dextromethorphan,DB00514,NO,NONE
Eslicarbazepine acetate,DB09119,YES,MAJOR
Rifabutin,DB00615,YES,MAJOR
Quinagolide,DB09097,NO,NONE
Abametapir,DB11932,YES,MAJOR
Letrozole,DB01006,NO,NONE
Rezafungin,DB16310,NO,NONE
Mitotane,DB00648,YES,MAJOR
Apremilast,DB05676,YES,MAJOR
Tixocortol,DB09091,YES,MODERATE
Hydralazine,DB01275,YES,MAJOR
Methoxy polyethylene glycol-epoetin beta,DB09107,NO,NONE
Ruxolitinib,DB08877,NO,NONE
Fidaxomicin,DB08874,NO,NONE
Linaclotide,DB08890,NO,NONE
Tolfenamic acid,DB09216,NO,NONE
Cariprazine,DB06016,NO,NONE
Bupropion,DB01156,NO,NONE
Chlorpromazine,DB00477,YES,MAJOR
Nirogacestat,DB12005,YES,MAJOR
Digoxin,DB00390,YES,MODERATE
Etonogestrel,DB00294,NO,NONE
Crizanlizumab,DB15271,NO,NONE
Osilodrostat,DB11837,YES,MAJOR
Fosphenytoin,DB01320,YES,MAJOR
Carfilzomib,DB08889,YES,MAJOR
Lenalidomide,DB00480,NO,NONE
Carbamoylcholine,DB00411,NO,NONE
Serdexmethylphenidate,DB16629,NO,NONE
Ferric pyrophosphate citrate,DB13995,NO,NONE
Clofazimine,DB00845,YES,MAJOR
Esterified estrogens,DB09381,NO,NONE
Nortriptyline,DB00540,YES,MODERATE
Pitavastatin,DB08860,NO,NONE
Medroxyprogesterone acetate,DB00603,YES,MAJOR
Estradiol acetate,DB13952,YES,MAJOR
Alpelisib,DB12015,YES,MAJOR
Dirithromycin,DB00954,YES,MAJOR
Erythropoietin,DB00016,NO,NONE
Acetylcysteine,DB06151,NO,NONE
Ustekinumab,DB05679,NO,NONE
Vericiguat,DB15456,NO,NONE
Vitamin E,DB00163,YES,MAJOR
Indomethacin,DB00328,NO,NONE
Metronidazole,DB00916,YES,MAJOR
Adagrasib,DB15568,YES,MAJOR
Cefepime,DB01413,NO,NONE
Isoniazid,DB00951,YES,MAJOR
Vildagliptin,DB04876,NO,NONE
Enmetazobactam,DB18716,NO,NONE
Istradefylline,DB11757,YES,MAJOR
Docetaxel,DB01248,YES,MAJOR
Trimetazidine,DB09069,NO,NONE
Hydrochlorothiazide,DB00999,YES,MODERATE
Paroxetine,DB00715,NO,NONE
Phenytoin,DB00252,YES,MAJOR
Miglitol,DB00491,NO,NONE
Letermovir,DB12070,YES,MAJOR
Miconazole,DB01110,YES,MAJOR
Sulopenem etzadroxil,DB16335,NO,NONE
Sulfoxone,DB01145,NO,NONE
Ropinirole,DB00268,NO,NONE
Empagliflozin,DB09038,NO,NONE
Netarsudil,DB13931,NO,NONE
Indinavir,DB00224,YES,MAJOR
Levothyroxine,DB00451,YES,MAJOR
Latanoprost,DB00654,NO,NONE
Brentuximab vedotin,DB08870,YES,MAJOR
Futibatinib,DB15149,YES,MODERATE
Chlorotrianisene,DB00269,NO,NONE
Amlodipine,DB00381,YES,MODERATE
Orphenadrine,DB01173,YES,MAJOR
Oxybutynin,DB01062,YES,MAJOR
Adefovir dipivoxil,DB00718,NO,NONE
Lincomycin,DB01627,NO,NONE
Mercaptopurine,DB01033,NO,NONE
Aceclofenac,DB06736,NO,NONE
Olaparib,DB09074,YES,MAJOR
Talimogene laherparepvec,DB13896,NO,NONE
Felbamate,DB00949,YES,MAJOR
Tamoxifen,DB00675,YES,MAJOR
Brincidofovir,DB12151,NO,NONE
Primidone,DB00794,YES,MAJOR
Ethchlorvynol,DB00189,NO,NONE
Ripretinib,DB14840,YES,MAJOR
Buprenorphine,DB00921,YES,MAJOR
Somatostatin,DB09099,YES,MAJOR
Chloramphenicol,DB00446,YES,MAJOR
Fenofibric acid,DB13873,NO,NONE
Calcium carbimide,DB09116,NO,NONE
Estrone,DB00655,NO,NONE
Ganciclovir,DB01004,NO,NONE
Rilpivirine,DB08864,YES,MAJOR
Tepotinib,DB15133,YES,MAJOR
Filgrastim,DB00099,NO,NONE
Ozenoxacin,DB12924,NO,NONE
Fondaparinux,DB00569,NO,NONE
Carboxymethylcellulose,DB11059,NO,NONE
