DRUG_B_NAME,DRUG_B_ID,GT,DDI_TYPE
Hydrocortisone probutate,DB14543,NO,NONE
Certolizumab pegol,DB08904,YES,MODERATE
Beclomethasone dipropionate,DB00394,YES,MODERATE
Hexylresorcinol,DB11254,NO,NONE
Dasatinib,DB01254,YES,MAJOR
Upadacitinib,DB15091,NO,NONE
Fenofibric acid,DB13873,YES,MAJOR
Osilodrostat,DB11837,YES,MODERATE
Sotorasib,DB15569,YES,MODERATE
Phenytoin,DB00252,YES,MODERATE
Homatropine,DB11181,NO,NONE
Clomipramine,DB01242,YES,MAJOR
Tafamidis,DB11644,NO,NONE
Darifenacin,DB00496,YES,MODERATE
Rimegepant,DB12457,YES,MAJOR
Benazepril,DB00542,NO,NONE
Abametapir,DB11932,YES,MAJOR
Azithromycin,DB00207,NO,NONE
Deucravacitinib,DB16650,NO,NONE
Meloxicam,DB00814,YES,MODERATE
Apremilast,DB05676,YES,MODERATE
Triamcinolone,DB00620,YES,MODERATE
Etodolac,DB00749,YES,MODERATE
Bivalirudin,DB00006,NO,NONE
Hydrocortisone aceponate,DB14538,NO,NONE
Ranibizumab,DB01270,NO,NONE
Calcitriol,DB00136,NO,NONE
Gefapixant,DB15097,NO,NONE
Tapinarof,DB06083,NO,NONE
Polaprezinc,DB09221,NO,NONE
Cabazitaxel,DB06772,YES,MAJOR
Mometasone furoate,DB14512,YES,MAJOR
Cobimetinib,DB05239,YES,MAJOR
Ceftibuten,DB01415,NO,NONE
Tegafur-uracil,DB09327,NO,NONE
Nifedipine,DB01115,YES,MODERATE
Diphenhydramine,DB01075,YES,MODERATE
Brincidofovir,DB12151,YES,MODERATE
Tazobactam,DB01606,NO,NONE
Tirzepatide,DB15171,NO,NONE
Abarelix,DB00106,NO,NONE
Fosdenopterin,DB16628,NO,NONE
Carbamazepine,DB00564,YES,MAJOR
Olopatadine,DB00768,NO,NONE
Nabumetone,DB00461,YES,MODERATE
Levocetirizine,DB06282,NO,NONE
Ketoconazole,DB01026,YES,MAJOR
Darunavir,DB01264,YES,MAJOR
Alendronic acid,DB00630,YES,MODERATE
Curcumin,DB11672,YES,MAJOR
Efmoroctocog alfa,DB11607,NO,NONE
Equine Botulinum Neurotoxin F Immune FAB2,DB13901,NO,NONE
Triflupromazine,DB00508,NO,NONE
Edaravone,DB12243,NO,NONE
Vinflunine,DB11641,YES,MAJOR
Tralokinumab,DB12169,NO,NONE
Letermovir,DB12070,YES,MODERATE
Acenocoumarol,DB01418,YES,MODERATE
Prednisone,DB00635,NO,NONE
Flecainide,DB01195,YES,MAJOR
Testosterone undecanoate,DB13946,NO,NONE
Risdiplam,DB15305,NO,NONE
Fluorouracil,DB00544,YES,MAJOR
Cyclophosphamide,DB00531,YES,MAJOR
Ipilimumab,DB06186,NO,NONE
Etoposide,DB00773,YES,MAJOR
Xylitol,DB11195,NO,NONE
Phenobarbital,DB01174,YES,MAJOR
Disopyramide,DB00280,NO,NONE
Gemcitabine,DB00441,YES,MAJOR
Letrozole,DB01006,YES,MODERATE
Lurbinectedin,DB12674,NO,NONE
Vildagliptin,DB04876,NO,NONE
Mepivacaine,DB00961,NO,NONE
Lebrikizumab,DB11914,NO,NONE
Nitazoxanide,DB00507,NO,NONE
Felodipine,DB01023,YES,MAJOR
Glycerol phenylbutyrate,DB08909,YES,MAJOR
Tetraferric tricitrate decahydrate,DB14520,NO,NONE
Bendamustine,DB06769,YES,MAJOR
Elagolix,DB11979,YES,MODERATE
Triptorelin,DB06825,NO,NONE
Amlodipine,DB00381,YES,MODERATE
Neratinib,DB11828,YES,MODERATE
Olaparib,DB09074,YES,MAJOR
Ravulizumab,DB11580,NO,NONE
Levomilnacipran,DB08918,NO,NONE
Fosfomycin,DB00828,NO,NONE
Eculizumab,DB01257,NO,NONE
Nafarelin,DB00666,YES,MODERATE
Alteplase,DB00009,NO,NONE
Dexchlorpheniramine maleate,DB09555,YES,MODERATE
Tacrolimus,DB00864,YES,MAJOR
Fospropofol,DB06716,NO,NONE
Propafenone,DB01182,YES,MAJOR
Nafcillin,DB00607,NO,NONE
Rucaparib,DB12332,YES,MODERATE
Benidipine,DB09231,YES,MODERATE
Sirolimus,DB00877,YES,MAJOR
Buprenorphine,DB00921,YES,MODERATE
Trifarotene,DB12808,NO,NONE
Enflurane,DB00228,NO,NONE
Undecylenic acid,DB11117,NO,NONE
Trametinib,DB08911,NO,NONE
Ritonavir,DB00503,YES,MAJOR
Tepotinib,DB15133,YES,MAJOR
Fluciclovine (18F),DB13146,NO,NONE
Linaclotide,DB08890,NO,NONE
Cetirizine,DB00341,NO,NONE
Amsacrine,DB00276,NO,NONE
Chromic nitrate,DB14527,NO,NONE
Anethole trithione,DB13853,NO,NONE
Telithromycin,DB00976,YES,MAJOR
Bisoprolol,DB00612,YES,MODERATE
Siponimod,DB12371,YES,MAJOR
Fluticasone,DB13867,YES,MAJOR
Emtricitabine,DB00879,NO,NONE
Binimetinib,DB11967,YES,MAJOR
Leronlimab,DB05941,NO,NONE
Midostaurin,DB06595,YES,MAJOR
Clotrimazole,DB00257,NO,NONE
Orphenadrine,DB01173,YES,MAJOR
Carfilzomib,DB08889,YES,MAJOR
Ciprofloxacin,DB00537,YES,MODERATE
Ciclopirox,DB01188,NO,NONE
Ziprasidone,DB00246,YES,MODERATE
Etacrynic acid,DB00903,NO,NONE
Imipenem,DB01598,NO,NONE
Stiripentol,DB09118,YES,MAJOR
Valsartan,DB00177,YES,MODERATE
Venetoclax,DB11581,YES,MAJOR
Dexamethasone,DB01234,YES,MAJOR
Nefazodone,DB01149,YES,MAJOR
Sevoflurane,DB01236,YES,MODERATE
Amitriptyline,DB00321,YES,MAJOR
Tiludronic acid,DB01133,NO,NONE
Pimavanserin,DB05316,NO,NONE
Arformoterol,DB01274,YES,MODERATE
Trimipramine,DB00726,YES,MAJOR
Mexiletine,DB00379,YES,MODERATE
Fluvoxamine,DB00176,YES,MODERATE
Zidovudine,DB00495,YES,MODERATE
Belimumab,DB08879,NO,NONE
Zonisamide,DB00909,YES,MODERATE
Aflibercept,DB08885,NO,NONE
Fremanezumab,DB14041,NO,NONE
Trimethoprim,DB00440,YES,MODERATE
Durlobactam,DB16704,NO,NONE
Leniolisib,DB16217,YES,MAJOR
Enzalutamide,DB08899,YES,MODERATE
Strontium chloride Sr-89,DB09498,NO,NONE
Levoketoconazole,DB05667,YES,MAJOR
Saquinavir,DB01232,YES,MAJOR
Artesunate,DB09274,NO,NONE
Levothyroxine,DB00451,YES,MODERATE
Cefdinir,DB00535,NO,NONE
Enasidenib,DB13874,YES,MAJOR
Bumetanide,DB00887,YES,MODERATE
Clarithromycin,DB01211,YES,MAJOR
Selexipag,DB11362,YES,MODERATE
Paroxetine,DB00715,YES,MAJOR
Eletriptan,DB00216,YES,MODERATE
Tolvaptan,DB06212,YES,MAJOR
Omidenepag isopropyl,DB15071,NO,NONE
Ganaxolone,DB05087,NO,NONE
Trifluridine,DB00432,NO,NONE
Phenprocoumon,DB00946,YES,MAJOR
Silodosin,DB06207,YES,MAJOR
Edotreotide gallium Ga-68,DB15494,NO,NONE
Indinavir,DB00224,YES,MAJOR
Insulin degludec,DB09564,NO,NONE
Besilesomab,DB13979,NO,NONE
Aminoglutethimide,DB00357,NO,NONE
Vilazodone,DB06684,YES,MODERATE
Exemestane,DB00990,NO,NONE
Voclosporin,DB11693,YES,MODERATE
Benzydamine,DB09084,NO,NONE
Vismodegib,DB08828,NO,NONE
Pholcodine,DB09209,NO,NONE
Pretomanid,DB05154,YES,MODERATE
Clobazam,DB00349,YES,MODERATE
Astemizole,DB00637,YES,MAJOR
Cenegermin,DB13926,NO,NONE
Methoxy polyethylene glycol-epoetin beta,DB09107,NO,NONE
Nelfinavir,DB00220,YES,MAJOR
Zanubrutinib,DB15035,YES,MAJOR
Levorphanol,DB00854,NO,NONE
Deferoxamine,DB00746,NO,NONE
Olmesartan,DB00275,YES,MODERATE
Inositol,DB13178,NO,NONE
Carprofen,DB00821,NO,NONE
Cefixime,DB00671,NO,NONE
Dalteparin,DB06779,NO,NONE
Trastuzumab emtansine,DB05773,YES,MAJOR
Oxaprozin,DB00991,NO,NONE
Propanoic acid,DB03766,NO,NONE
Sunitinib,DB01268,YES,MAJOR
Chromic citrate,DB14526,NO,NONE
Vamorolone,DB15114,NO,NONE
Abiraterone,DB05812,YES,MODERATE
Nortriptyline,DB00540,YES,MAJOR
