DRUG_B_NAME,DRUG_B_ID,GT,DDI_TYPE
Trifarotene,DB12808,NO,NONE
Chloramphenicol,DB00446,YES,MAJOR
Benidipine,DB09231,YES,MODERATE
Mexiletine,DB00379,NO,NONE
Docetaxel,DB01248,YES,MAJOR
Butamben,DB11148,NO,NONE
Fluticasone,DB13867,YES,MAJOR
Mycophenolate mofetil,DB00688,YES,MAJOR
Sarilumab,DB11767,YES,MAJOR
Olaparib,DB09074,YES,MAJOR
Pretomanid,DB05154,NO,NONE
Cytarabine,DB00987,YES,MAJOR
Etonogestrel,DB00294,NO,NONE
Dimethyl fumarate,DB08908,YES,MAJOR
Pirtobrutinib,DB17472,YES,MAJOR
Lincomycin,DB01627,NO,NONE
Abametapir,DB11932,YES,MAJOR
Ceforanide,DB00923,NO,NONE
Tezacaftor,DB11712,NO,NONE
Lenalidomide,DB00480,YES,MAJOR
Baricitinib,DB11817,YES,MAJOR
Teprotumumab,DB06343,YES,MAJOR
Flucytosine,DB01099,YES,MAJOR
Inavolisib,DB15275,NO,NONE
Doravirine,DB12301,NO,NONE
Vilazodone,DB06684,NO,NONE
Rosiglitazone,DB00412,NO,NONE
Vildagliptin,DB04876,NO,NONE
Acetohydroxamic acid,DB00551,NO,NONE
Allopurinol,DB00437,NO,NONE
Canakinumab,DB06168,YES,MAJOR
Mercaptopurine,DB01033,YES,MAJOR
Dactinomycin,DB00970,YES,MAJOR
Lutetium Lu-177 vipivotide tetraxetan,DB16778,NO,NONE
Potassium alum,DB09087,NO,NONE
Mitotane,DB00648,YES,MODERATE
Epcoritamab,DB16672,YES,MODERATE
Budesonide,DB01222,YES,MAJOR
Cefuroxime,DB01112,NO,NONE
Cephalexin,DB00567,NO,NONE
Nortriptyline,DB00540,NO,NONE
Oxcarbazepine,DB00776,NO,NONE
Carmustine,DB00262,YES,MAJOR
Enzacamene,DB11219,NO,NONE
Methotrexate,DB00563,YES,MAJOR
Tamsulosin,DB00706,NO,NONE
Imatinib,DB00619,YES,MAJOR
